index,postion,streams,year,country,title,artist,valence
121,122,1696,2018,ae,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,0.383
122,123,1694,2018,ae,Don't Stop Me Now - Remastered 2011,Queen,0.601
123,124,1686,2018,ae,REEL IT IN,Aminé,0.423
124,125,1684,2018,ae,idontwannabeyouanymore,Billie Eilish,0.247
125,126,1684,2018,ae,I'm a Mess,Bebe Rexha,0.216
126,127,1675,2018,ae,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.579
127,128,1664,2018,ae,Let Her Go,Passenger,0.243
128,129,1664,2018,ae,Stay With Me,Sam Smith,0.184
129,130,1655,2018,ae,Call Out My Name,The Weeknd,0.175
130,131,1654,2018,ae,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,0.481
131,132,1652,2018,ae,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental,0.55
132,133,1650,2018,ae,Body (feat. brando),Loud Luxury,0.593
133,134,1647,2018,ae,One Dance,Drake,0.37
134,135,1636,2018,ae,10 Freaky Girls (with 21 Savage),Metro Boomin,0.0727
135,136,1633,2018,ae,POP/STARS,K/DA,0.385
136,137,1631,2018,ae,Everybody Dies In Their Nightmares,XXXTENTACION,0.689
137,138,1626,2018,ae,Attention,Charlie Puth,0.797
138,139,1606,2018,ae,Thru These Tears,LANY,0.294
139,140,1604,2018,ae,changes,XXXTENTACION,0.52
140,141,1596,2018,ae,Just the Way You Are,Bruno Mars,0.424
141,142,1573,2018,ae,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,0.571
142,143,1552,2018,ae,In My Head,Peter Manos,0.0747
143,144,1544,2018,ae,Congratulations,Post Malone,0.492
144,145,1536,2018,ae,8 Letters,Why Don't We,0.255
145,146,1520,2018,ae,Uproar,Lil Wayne,0.884
146,147,1519,2018,ae,No One Compares To You,Jack & Jack,0.631
147,148,1514,2018,ae,Fine China,Future,0.551
148,149,1501,2018,ae,Chasing Cars,Snow Patrol,0.136
149,150,1500,2018,ae,Ocean (feat. Khalid),Martin Garrix,0.221
150,151,1486,2018,ae,Don't Come Out The House (with 21 Savage),Metro Boomin,0.175
151,152,1484,2018,ae,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,0.106
152,153,1467,2018,ae,HUMBLE.,Kendrick Lamar,0.421
153,154,1462,2018,ae,Never Recover (Lil Ba,& Gunna,0.886
154,155,1459,2018,ae,Sugar,Maroon 5,0.884
155,156,1455,2018,ae,1999,Charli XCX,0.659
156,157,1432,2018,ae,Scared to Be Lonely,Martin Garrix,0.195
157,158,1431,2018,ae,It Ain't Me,Kygo,0.539
158,159,1420,2018,ae,comethru,Jeremy Zucker,0.608
159,160,1415,2018,ae,Issues,Julia Michaels,0.455
160,161,1413,2018,ae,ocean eyes,Billie Eilish,0.16
161,162,1409,2018,ae,Location,Khalid,0.326
162,163,1401,2018,ae,Under Pressure - Remastered 2011,Queen,0.466
164,165,1397,2018,ae,I Don't Wanna Love You Anymore,LANY,0.503
165,166,1385,2018,ae,Something Just Like This,The Chainsmokers,0.446
166,167,1384,2018,ae,The Scientist,Coldplay,0.213
167,168,1369,2018,ae,Tadhana,Up Dharma Down,0.511
168,169,1367,2018,ae,Halo,Beyoncé,0.472
169,170,1365,2018,ae,Dip (feat. Nicki Minaj),Tyga,0.43
170,171,1358,2018,ae,Treat You Better,Shawn Mendes,0.747
171,172,1356,2018,ae,Killshot,Eminem,0.6
172,173,1353,2018,ae,I Want It That Way,Backstreet Boys,0.482
173,174,1352,2018,ae,bellyache,Billie Eilish,0.408
174,175,1352,2018,ae,I Feel It Coming,The Weeknd,0.585
175,176,1351,2018,ae,Let You Down,NF,0.464
176,177,1349,2018,ae,Celoso,Lele Pons,0.667
177,178,1343,2018,ae,OTW,Khalid,0.28
178,179,1335,2018,ae,Leave Me Alone,Flipp Dinero,0.742
179,180,1330,2018,ae,Kung Wala Ka,Hale,0.155
180,181,1323,2018,ae,3 Nights,Dominic Fike,0.877
181,182,1321,2018,ae,Saturday Nights,Khalid,0.341
182,183,1318,2018,ae,All I Want for Christmas Is You,Mariah Carey,0.35
183,184,1318,2018,ae,You Are The Reason,Calum Scott,0.22
184,185,1313,2018,ae,There's Nothing Holdin' Me Back,Shawn Mendes,0.969
185,186,1311,2018,ae,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,0.0951
186,187,1298,2018,ae,That's What I Like,Bruno Mars,0.86
187,188,1297,2018,ae,Symphony (feat. Zara Larsson),Clean Bandit,0.454
188,189,1293,2018,ae,Wonderwall - Remastered,Oasis,0.434
189,190,1284,2018,ae,She Will Be Loved - Radio Mix,Maroon 5,0.465
190,191,1279,2018,ae,We Will Rock You - Remastered 2011,Queen,0.473
191,192,1275,2018,ae,DNA.,Kendrick Lamar,0.422
192,193,1273,2018,ae,FAKE LOVE,BTS,0.345
193,194,1268,2018,ae,All The Stars (with SZA),Kendrick Lamar,0.552
194,195,1268,2018,ae,Young Dumb & Broke,Khalid,0.394
195,196,1266,2018,ae,In My Blood,Shawn Mendes,0.487
196,197,1251,2018,ae,Look At Me!,XXXTENTACION,0.349
197,198,1250,2018,ae,Riptide,Vance Joy,0.51
198,199,1250,2018,ae,'Till I Collapse,Eminem,0.1
199,200,1246,2018,ae,One Last Time,Ariana Grande,0.104
0,1,15463,2019,ae,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,0.913
1,2,14393,2019,ae,Without Me,Halsey,0.533
2,3,14254,2019,ae,thank u next,Ariana Grande,0.412
3,4,11885,2019,ae,Wow.,Post Malone,0.388
4,5,9931,2019,ae,Taki Taki (with Selena Gomez Ozuna & Cardi B),DJ Snake,0.617
5,6,8833,2019,ae,Eastside (with Halsey & Khalid),benny blanco,0.319
6,7,8807,2019,ae,Happier,Marshmello,0.671
7,8,8778,2019,ae,Better,Khalid,0.112
8,9,8663,2019,ae,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,0.493
9,10,8160,2019,ae,Sweet but Psycho,Ava Max,0.62
10,11,7888,2019,ae,ZEZE (feat. Travis Scott & Offset),Kodak Black,0.504
11,12,7805,2019,ae,SICKO MODE,Travis Scott,0.446
12,13,7751,2019,ae,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,0.288
13,14,7483,2019,ae,Saturday Nights,Khalid,0.341
14,15,7444,2019,ae,Going Bad (feat. Drake),Meek Mill,0.544
15,16,6970,2019,ae,Kiss and Make Up,Dua Lipa,0.643
16,17,6845,2019,ae,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,0.448
17,18,6765,2019,ae,Beautiful (feat. Camila Cabello),Bazzi,0.249
18,19,6646,2019,ae,imagine,Ariana Grande,0.371
19,20,6601,2019,ae,High Hopes,Panic! At The Disco,0.681
20,21,6053,2019,ae,Ruin My Life,Zara Larsson,0.585
21,22,5959,2019,ae,Better Now,Post Malone,0.341
22,23,5945,2019,ae,MIA (feat. Drake),Bad Bunny,0.158
23,24,5557,2019,ae,when the party's over,Billie Eilish,0.198
24,25,5393,2019,ae,Mo Bamba,Sheck Wes,0.261
25,26,5310,2019,ae,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,0.571
26,27,5192,2019,ae,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,0.244
27,28,5177,2019,ae,Be Alright,Dean Lewis,0.443
28,29,5136,2019,ae,Love Someone,Lukas Graham,0.265
29,30,5094,2019,ae,SAD!,XXXTENTACION,0.473
30,31,5059,2019,ae,Moonlight,XXXTENTACION,0.711
31,32,5022,2019,ae,IDGAF,Dua Lipa,0.639
32,33,4994,2019,ae,Lucid Dreams,Juice WRLD,0.218
33,34,4939,2019,ae,I Like Me Better,Lauv,0.419
34,35,4771,2019,ae,2002,Anne-Marie,0.603
35,36,4750,2019,ae,Look Back at It,A Boogie Wit da Hoodie,0.536
36,37,4518,2019,ae,Shallow,Lady Gaga,0.323
37,38,4450,2019,ae,rockstar (feat. 21 Savage),Post Malone,0.129
38,39,4442,2019,ae,Say You Won't Let Go,James Arthur,0.494
39,40,4337,2019,ae,breathin,Ariana Grande,0.364
40,41,4311,2019,ae,whoa (mind in awe),XXXTENTACION,0.369
41,42,4284,2019,ae,Drip Too Hard (Lil Ba,& Gunna)  ,0.389
42,43,4148,2019,ae,Bad Liar,Imagine Dragons,0.0827
43,44,4137,2019,ae,lovely,Billie Eilish,0.12
44,45,4063,2019,ae,SOLO,JENNIE,0.388
45,46,3962,2019,ae,Havana (feat. Young Thug),Camila Cabello,0.394
46,47,3922,2019,ae,Buwan,juan karlos,0.36
47,48,3876,2019,ae,I Like It,Cardi B,0.65
48,49,3719,2019,ae,BAD!,XXXTENTACION,0.746
49,50,3714,2019,ae,Leave Me Alone,Flipp Dinero,0.742
50,51,3654,2019,ae,Let You Love Me,Rita Ora,0.452
51,52,3649,2019,ae,monster,21 Savage,0.224
52,53,3612,2019,ae,Sana - Single Version,I Belong to the Zoo,0.348
53,54,3599,2019,ae,Happy Now,Kygo,0.492
54,55,3593,2019,ae,Wake Up in the Sky,Gucci Mane,0.363
55,56,3558,2019,ae,Sa Ngalan Ng Pag-Ibig,December Avenue,0.271
56,57,3536,2019,ae,One Kiss (with Dua Lipa),Calvin Harris,0.592
57,58,3521,2019,ae,Calma - Remix,Pedro Capó,0.761
58,59,3512,2019,ae,no tears left to cry,Ariana Grande,0.354
59,60,3487,2019,ae,Taste (feat. Offset),Tyga,0.342
60,61,3480,2019,ae,Woman Like Me (feat. Nicki Minaj),Little Mix,0.8
61,62,3463,2019,ae,Kung 'Di Rin Lang Ikaw,December Avenue,0.132
62,63,3430,2019,ae,This Feeling,The Chainsmokers,0.449
63,64,3349,2019,ae,Promises (with Sam Smith),Calvin Harris,0.486
64,65,3345,2019,ae,New Rules,Dua Lipa,0.506
65,66,3336,2019,ae,Photograph,Ed Sheeran,0.201
66,67,3262,2019,ae,Best Part (feat. Daniel Caesar),H.E.R.,0.413
67,68,3227,2019,ae,Youngblood,5 Seconds of Summer,0.152
68,69,3214,2019,ae,FRIENDS,Marshmello,0.534
69,70,3174,2019,ae,Too Good At Good,s  ,0.476
70,71,3130,2019,ae,God's Plan,Drake,0.357
71,72,3119,2019,ae,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse,Nicki Minaj,0.674
72,73,3119,2019,ae,Kahit Ayaw Mo Na,This Band,0.423
73,74,3086,2019,ae,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,0.579
74,75,3086,2019,ae,The Middle,Zedd,0.437
75,76,3055,2019,ae,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,0.508
76,77,3023,2019,ae,Shape of You,Ed Sheeran,0.931
77,78,3016,2019,ae,Nonstop,Drake,0.423
78,79,2984,2019,ae,Bohemian Rhapsody - Remastered 2011,Queen,0.228
79,80,2974,2019,ae,Rise,Jonas Blue,0.655
80,81,2966,2019,ae,"""Fire On Fire - From """"Watership Down""""""",Sam Smith,0.341
81,82,2942,2019,ae,Trampoline,SHAED,0.537
82,83,2898,2019,ae,Happy Now,Zedd,0.458
83,84,2880,2019,ae,Kathang Isip,Ben&Ben,0.295
84,85,2838,2019,ae,I'm a Mess,Bebe Rexha,0.216
85,86,2823,2019,ae,Wolves,Selena Gomez,0.306
86,87,2813,2019,ae,Lucky You (feat. Joyner Lucas),Eminem,0.575
87,88,2812,2019,ae,Thinking out Loud,Ed Sheeran,0.591
88,89,2809,2019,ae,Adan y Eva,Paulo Londra,0.724
89,90,2803,2019,ae,Solo (feat. Demi Lovato),Clean Bandit,0.565
90,91,2788,2019,ae,Perfect,Ed Sheeran,0.168
91,92,2781,2019,ae,No Stylist (feat. Drake),French Montana,0.498
92,93,2742,2019,ae,Believer,Imagine Dragons,0.666
93,94,2720,2019,ae,Maybe The Night,Ben&Ben,0.498
94,95,2713,2019,ae,Undecided,Chris Brown,0.488
95,96,2712,2019,ae,God is a woman,Ariana Grande,0.268
96,97,2712,2019,ae,Jocelyn Flores,XXXTENTACION,0.437
97,98,2697,2019,ae,There's No Way (feat. Julia Michaels),Lauv,0.374
98,99,2664,2019,ae,Stay With Me,Sam Smith,0.184
99,100,2660,2019,ae,Starving,Hailee Steinfeld,0.508
100,101,2660,2019,ae,Psycho (feat. Ty Dolla $ign),Post Malone,0.459
101,102,2653,2019,ae,Closer,The Chainsmokers,0.661
102,103,2631,2019,ae,Body (feat. brando),Loud Luxury,0.593
103,104,2623,2019,ae,Love Lies (with Normani),Khalid,0.338
104,105,2590,2019,ae,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,0.506
105,106,2579,2019,ae,Malibu Nights,LANY,0.191
106,107,2575,2019,ae,Hope,The Chainsmokers,0.513
107,108,2575,2019,ae,Chasing Cars,Snow Patrol,0.136
108,109,2568,2019,ae,Project Dreams,Marshmello,0.786
109,110,2566,2019,ae,In My Mind,Dynoro,0.163
110,111,2551,2019,ae,I'm Yours,Jason Mraz,0.712
111,112,2540,2019,ae,Thunder,Imagine Dragons,0.288
112,113,2525,2019,ae,What Lovers Do,Maroon 5,0.419
113,114,2520,2019,ae,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,0.525
114,115,2511,2019,ae,idontwannabeyouanymore,Billie Eilish,0.247
115,116,2505,2019,ae,In My Feelings,Drake,0.35
116,117,2504,2019,ae,These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental,0.55
117,118,2496,2019,ae,YOSEMITE,Travis Scott,0.144
118,119,2483,2019,ae,You Are The Reason,Calum Scott,0.22
119,120,2451,2019,ae,comethru,Jeremy Zucker,0.608
120,121,2422,2019,ae,a lot,21 Savage,0.274
121,122,2412,2019,ae,Electricity (with Dua Lipa),Silk City,0.505
122,123,2410,2019,ae,Solo de Mi,Bad Bunny,0.15
123,124,2397,2019,ae,Mundo,IV Of Spades,0.481
124,125,2396,2019,ae,Issues,Julia Michaels,0.455
125,126,2386,2019,ae,Happier,Ed Sheeran,0.236
126,127,2382,2019,ae,In My Head,Peter Manos,0.0747
127,128,2351,2019,ae,I'm Not The Only One,Sam Smith,0.493
128,129,2348,2019,ae,Suncity (feat. Empress Of),Khalid,0.341
129,130,2317,2019,ae,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,0.106
130,131,2287,2019,ae,Waste It On Me,Steve Aoki,0.466
131,132,2272,2019,ae,Let Her Go,Passenger,0.243
132,133,2261,2019,ae,8 Letters,Why Don't We,0.255
133,134,2247,2019,ae,Money,Cardi B,0.219
134,135,2246,2019,ae,Lost In Japan - Remix,Shawn Mendes,0.293
135,136,2227,2019,ae,Bulong,December Avenue,0.351
136,137,2215,2019,ae,Let Me Go (with Alesso Florida Georgia Line & watt),Hailee Steinfeld,0.742
137,138,2213,2019,ae,Ocean (feat. Khalid),Martin Garrix,0.221
138,139,2194,2019,ae,Halo,Beyoncé,0.472
139,140,2193,2019,ae,Attention,Charlie Puth,0.797
140,141,2193,2019,ae,I Love It (& Lil Pump),Kanye West,0.329
141,142,2188,2019,ae,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.352
142,143,2188,2019,ae,Lie To Me,5 Seconds of Summer,0.771
143,144,2185,2019,ae,All of Me,John Legend,0.331
144,145,2181,2019,ae,Empty Space,James Arthur,0.34
145,146,2160,2019,ae,KIKA,6ix9ine,0.342
146,147,2148,2019,ae,Venom - Music From The Motion Picture,Eminem,0.46
147,148,2138,2019,ae,Hurts Like Hell (feat. Offset),Madison Beer,0.609
148,149,2128,2019,ae,Just the Way You Are,Bruno Mars,0.424
149,150,2119,2019,ae,Say My Name,David Guetta,0.79
150,151,2103,2019,ae,Crushed Up,Future,0.544
151,152,2094,2019,ae,I Miss You (feat. Julia Michaels),Clean Bandit,0.369
152,153,2094,2019,ae,I Fall Apart,Post Malone,0.291
153,154,2078,2019,ae,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,0.356
154,155,2059,2019,ae,Silence,Marshmello,0.286
155,156,2044,2019,ae,In My Blood,Shawn Mendes,0.487
156,157,2042,2019,ae,Bleeding Love,Leona Lewis,0.225
157,158,2033,2019,ae,Let You Down,NF,0.464
158,159,2016,2019,ae,All The Stars (with SZA),Kendrick Lamar,0.552
159,160,2007,2019,ae,I Want It That Way,Backstreet Boys,0.482
160,161,2004,2019,ae,Side To Side,Ariana Grande,0.613
161,162,1991,2019,ae,There You Are,ZAYN,0.313
162,163,1985,2019,ae,Natural,Imagine Dragons,0.22
163,164,1975,2019,ae,Iris,The Goo Goo Dolls,0.497
164,165,1967,2019,ae,Flames,David Guetta,0.364
165,166,1959,2019,ae,Polaroid,Jonas Blue,0.472
166,167,1953,2019,ae,Call Out My Name,The Weeknd,0.175
167,168,1945,2019,ae,REMEDY,Alesso,0.483
168,169,1944,2019,ae,changes,XXXTENTACION,0.52
169,170,1940,2019,ae,I Don't Wanna Love You Anymore,LANY,0.503
170,171,1940,2019,ae,Mine,Bazzi,0.717
171,172,1934,2019,ae,Look Alive (feat. Drake),BlocBoy JB,0.595
172,173,1914,2019,ae,The Scientist,Coldplay,0.213
173,174,1907,2019,ae,Shotgun,George Ezra,0.754
174,175,1892,2019,ae,A Thousand Years,Christina Perri,0.161
175,176,1892,2019,ae,Kahit Di Mo Alam,December Avenue,0.282
176,177,1885,2019,ae,Thru These Tears,LANY,0.294
177,178,1877,2019,ae,Dancing On My Own,Calum Scott,0.231
178,179,1877,2019,ae,Starboy,The Weeknd,0.486
179,180,1872,2019,ae,1950,King Princess,0.269
180,181,1870,2019,ae,One Dance,Drake,0.37
181,182,1859,2019,ae,Something Just Like This,The Chainsmokers,0.446
182,183,1847,2019,ae,So Close,NOTD,0.761
183,184,1837,2019,ae,bellyache,Billie Eilish,0.408
184,185,1807,2019,ae,Umbrella,Rihanna,0.575
185,186,1800,2019,ae,XO Tour Llif3,Lil Uzi Vert,0.401
186,187,1799,2019,ae,Someone You Loved,Lewis Capaldi,0.446
187,188,1796,2019,ae,FEFE,6ix9ine,0.375
188,189,1787,2019,ae,Location,Khalid,0.326
189,190,1784,2019,ae,That's What I Like,Bruno Mars,0.86
190,191,1775,2019,ae,Tadhana,Up Dharma Down,0.511
191,192,1763,2019,ae,Whatever It Takes,Imagine Dragons,0.556
192,193,1755,2019,ae,Treat You Better,Shawn Mendes,0.747
193,194,1753,2019,ae,Let Me Love You,Mario,0.556
194,195,1752,2019,ae,Congratulations,Post Malone,0.492
195,196,1748,2019,ae,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,0.0951
196,197,1746,2019,ae,Let Me Down Slowly,Alec Benjamin,0.483
197,198,1744,2019,ae,Thunderclouds,Sia,0.489
198,199,1744,2019,ae,Armed And Dangerous,Juice WRLD,0.845
199,200,1738,2019,ae,Delicate,Taylor Swift,0.0499
0,1,57222,2020,ae,The Box,Roddy Ricch,0.642
1,2,50630,2020,ae,Dance Monkey,Tones And I,0.513
2,3,45741,2020,ae,Falling,Trevor Daniel,0.236
3,4,41451,2020,ae,ROXANNE,Arizona Zervas,0.457
4,5,37465,2020,ae,Yummy,Justin Bieber,0.494
5,6,37205,2020,ae,Life Is Good (feat. Drake),Future,0.508
6,7,31218,2020,ae,Memories,Maroon 5,0.595
7,8,29416,2020,ae,Don't Start Now,Dua Lipa,0.679
8,9,26990,2020,ae,Circles,Post Malone,0.553
9,10,26183,2020,ae,Señorita,Shawn Mendes,0.75
10,11,25886,2020,ae,Blinding Lights,The Weeknd,0.334
11,12,25372,2020,ae,Rare,Selena Gomez,0.631
